light,maxfps,gain,status,achieved_fps,frame_noise,sharpness,cpu_temp
IR,2,1,running,2.04,0.5569525826525941,9.880732406573825,59.1
IR,2,3,running,1.88,0.8210792048975415,24.40762854808966,61.2
IR,2,5,
IR,2,7,
IR,2,10,stopped,0,,,
IR,5,1,running,3.74,0.5555639627878618,9.817049961216583,60.7
IR,5,3,running,3.85,0.8215279173000781,24.706573892551,61.8
IR,5,5,running,4.84,0.9865375526993743,38.764058165623744,63.4
IR,5,7,running,2.89,1.1087930855648056,51.053014060060185,66.6
IR,5,10,running,3.3,1.3141213217693692,71.41851475588415,67.7
IR,10,1,running,5.33,0.5501316422947944,9.557571591175925,64.5
IR,10,3,running,2.74,0.8194786835864402,24.336312634382647,63.4
IR,10,5,running,5.98,0.9894843818311664,38.73354781442218,61.8
IR,10,7,running,0.0,1.1058491568553874,50.58247962872121,62.8
IR,10,10,running,4.92,1.3082384121298765,70.88105616407329,67.7
LED,2,1,running,1.99,0.49398628966104374,15.78409001540873,61.2
LED,2,3,running,1.97,0.8242413477373188,24.576238497604262,63.9
LED,2,5,running,1.94,0.9804053773488143,38.364880072910914,60.1
LED,2,7,running,2.06,1.0908316228691974,50.34193682653639,62.3
LED,2,10,running,1.72,1.303483766793796,70.73350418204997,64.5
LED,5,1,
LED,5,3,stopped,0,,,
LED,5,5,stopped,0,,,
LED,5,7,stopped,0,,,
LED,5,10,stopped,0,,,
LED,10,1,running,2.63,0.5527198427307188,9.707726232740615,62.3
LED,10,3,running,5.92,0.8214477291520962,24.66770583737625,61.8
LED,10,5,running,2.7,0.988080406789161,38.679204031178685,61.8
LED,10,7,running,3.97,1.1054930873557318,50.72994046597414,61.2
LED,10,10,running,3.25,1.307457345445917,71.29521725510955,63.4
